"","year","spouses","gender","a_p","a_h","production","yield","p"
"1",1973,164,"female",54.9,47.3,1546.2,32.7,"1.76"
"2",1973,196,"male",54.9,47.3,1546.2,32.7,"1.76"
"3",1974,112,"female",59.3,54.1,1710.8,31.6,"3.9500000000000002"
"4",1974,218,"male",59.3,54.1,1710.8,31.6,"3.9500000000000002"
"5",1975,116,"female",71,65.4,1781.9,27.3,"4.0899999999999999"
"6",1975,203,"male",71,65.4,1781.9,27.3,"4.0899999999999999"
"7",1976,233,"male",74.9,69.5,2126.927,30.6,"3.5499999999999998"
"8",1976,137,"female",74.9,69.5,2126.927,30.6,"3.5499999999999998"
"9",1977,266,"male",80.4,70.9,2148.78,30.3,"2.73"
"10",1977,141,"female",80.4,70.9,2148.78,30.3,"2.73"
"11",1978,152,"female",75.4,66.7,2045.527,30.7,"2.3300000000000001"
"12",1978,248,"male",75.4,66.7,2045.527,30.7,"2.3300000000000001"
"13",1979,156,"female",66,56.5,1775.524,31.4,"2.9700000000000002"
"14",1979,284,"male",66,56.5,1775.524,31.4,"2.9700000000000002"
"15",1980,270,"male",71.4,62.5,2134.06,34.1,"3.7799999999999998"
"16",1980,143,"female",71.4,62.5,2134.06,34.1,"3.7799999999999998"
"17",1981,256,"male",80.8,71.1,2380.934,33.5,"3.9100000000000001"
"18",1981,129,"female",80.8,71.1,2380.934,33.5,"3.9100000000000001"
"19",1982,153,"female",88.3,80.6,2785.357,34.6,"3.6600000000000001"
"20",1982,290,"male",88.3,80.6,2785.357,34.6,"3.6600000000000001"
"21",1983,191,"female",86.2,77.9,2764.967,35.5,"3.5499999999999998"
"22",1983,348,"male",86.2,77.9,2764.967,35.5,"3.5499999999999998"
"23",1984,324,"male",76.4,61.4,2419.824,39.4,"3.5299999999999998"
"24",1984,189,"female",76.4,61.4,2419.824,39.4,"3.5299999999999998"
"25",1985,304,"male",79.213,66.928,2594.777,38.77,"3.3900000000000001"
"26",1985,175,"female",79.213,66.928,2594.777,38.77,"3.3900000000000001"
"27",1986,187,"female",75.535,64.704,2424.115,37.465,"3.0800000000000001"
"28",1986,290,"male",75.535,64.704,2424.115,37.465,"3.0800000000000001"
"29",1987,271,"female",71.998,60.688,2090.57,34.448,"2.4199999999999999"
"30",1987,450,"male",71.998,60.688,2090.57,34.448,"2.4199999999999999"
"31",1988,224,"female",65.829,55.945,2107.685,37.674,"2.5699999999999998"
"32",1988,284,"male",65.829,55.945,2107.685,37.674,"2.5699999999999998"
"33",1989,304,"male",65.529,53.189,1812.201,34.071,"3.7200000000000002"
"34",1989,197,"female",65.529,53.189,1812.201,34.071,"3.7200000000000002"
"35",1990,273,"male",76.615,62.189,2036.618,32.749,"3.7200000000000002"
"36",1990,183,"female",76.615,62.189,2036.618,32.749,"3.7200000000000002"
"37",1991,189,"female",77.041,69.103,2729.778,39.503,"2.6099999999999999"
"38",1991,310,"male",77.041,69.103,2729.778,39.503,"2.6099999999999999"
"39",1992,225,"female",69.881,57.803,1980.139,34.257,"3"
"40",1992,370,"male",69.881,57.803,1980.139,34.257,"3"
"41",1993,371,"male",72.219,62.761,2466.798,39.305,"3.2400000000000002"
"42",1993,243,"female",72.219,62.761,2466.798,39.305,"3.2400000000000002"
"43",1994,389,"male",72.168,62.712,2396.44,38.2,"3.2599999999999998"
"44",1994,255,"female",72.168,62.712,2396.44,38.2,"3.2599999999999998"
"45",1995,242,"female",70.349,61.77,2320.981,37.6,"3.4500000000000002"
"46",1995,378,"male",70.349,61.77,2320.981,37.6,"3.4500000000000002"
"47",1996,300,"female",69.031,60.955,2182.708,35.8085,"4.5499999999999998"
"48",1996,448,"male",69.031,60.955,2182.708,35.8085,"4.5499999999999998"
"49",1997,434,"male",75.105,62.819,2277.388,36.2532,"4.2999999999999998"
"50",1997,297,"female",75.105,62.819,2277.388,36.2532,"4.2999999999999998"
"51",1998,439,"male",70.412,62.84,2481.466,39.4886,"3.3799999999999999"
"52",1998,315,"female",70.412,62.84,2481.466,39.4886,"3.3799999999999999"
"53",1999,341,"female",65.821,59.002,2547.321,43.1735,"2.6499999999999999"
"54",1999,461,"male",65.821,59.002,2547.321,43.1735,"2.6499999999999999"
