Eheschließende nach Alter;;;;;
Age of partners at marriage by NUTS1, NUTS2, AGE_AT_MARRIAGE, REF_YEAR;;;;;
NUTS1;NUTS2;AGE_AT_MARRIAGE;REF_YEAR;WIVES;HUSBANDS
AT3;AT32;15 to 19 years old;1973;495;55
AT3;AT32;15 to 19 years old;1974;483;76
AT3;AT32;15 to 19 years old;1975;487;85
AT3;AT32;15 to 19 years old;1976;439;65
AT3;AT32;15 to 19 years old;1977;384;65
AT3;AT32;15 to 19 years old;1978;339;67
AT3;AT32;15 to 19 years old;1979;334;65
AT3;AT32;15 to 19 years old;1980;274;43
AT3;AT32;15 to 19 years old;1981;263;53
AT3;AT32;15 to 19 years old;1982;242;41
AT3;AT32;15 to 19 years old;1983;310;46
AT3;AT32;15 to 19 years old;1984;175;22
AT3;AT32;15 to 19 years old;1985;164;35
AT3;AT32;15 to 19 years old;1986;145;19
AT3;AT32;15 to 19 years old;1987;246;54
AT3;AT32;15 to 19 years old;1988;112;28
AT3;AT32;15 to 19 years old;1989;105;19
AT3;AT32;15 to 19 years old;1990;110;32
AT3;AT32;15 to 19 years old;1991;122;35
AT3;AT32;15 to 19 years old;1992;140;27
AT3;AT32;15 to 19 years old;1993;113;32
AT3;AT32;15 to 19 years old;1994;124;27
AT3;AT32;15 to 19 years old;1995;111;25
AT3;AT32;15 to 19 years old;1996;90;26
AT3;AT32;15 to 19 years old;1997;81;18
AT3;AT32;15 to 19 years old;1998;67;9
AT3;AT32;15 to 19 years old;1999;81;19
AT3;AT32;15 to 19 years old;2000;56;12
AT3;AT32;15 to 19 years old;2001;62;17
AT3;AT32;15 to 19 years old;2002;63;15
AT3;AT32;15 to 19 years old;2003;82;18
AT3;AT32;15 to 19 years old;2004;73;18
AT3;AT32;15 to 19 years old;2005;66;18
AT3;AT32;15 to 19 years old;2006;53;6
AT3;AT32;15 to 19 years old;2007;45;14
AT3;AT32;15 to 19 years old;2008;47;11
AT3;AT32;15 to 19 years old;2009;53;13
AT3;AT32;15 to 19 years old;2010;48;8
AT3;AT32;15 to 19 years old;2011;34;13
AT3;AT32;15 to 19 years old;2012;46;15
AT3;AT32;15 to 19 years old;2013;44;7
AT3;AT32;15 to 19 years old;2014;30;5
AT3;AT32;20 to 24 years old;1973;1462;1150
AT3;AT32;20 to 24 years old;1974;1444;1113
AT3;AT32;20 to 24 years old;1975;1361;979
AT3;AT32;20 to 24 years old;1976;1303;974
AT3;AT32;20 to 24 years old;1977;1330;944
AT3;AT32;20 to 24 years old;1978;1284;856
AT3;AT32;20 to 24 years old;1979;1296;879
AT3;AT32;20 to 24 years old;1980;1349;853
AT3;AT32;20 to 24 years old;1981;1282;828
AT3;AT32;20 to 24 years old;1982;1334;823
AT3;AT32;20 to 24 years old;1983;1747;1131
AT3;AT32;20 to 24 years old;1984;1314;772
AT3;AT32;20 to 24 years old;1985;1283;774
AT3;AT32;20 to 24 years old;1986;1263;737
AT3;AT32;20 to 24 years old;1987;2094;1259
AT3;AT32;20 to 24 years old;1988;858;513
AT3;AT32;20 to 24 years old;1989;1042;598
AT3;AT32;20 to 24 years old;1990;1001;550
AT3;AT32;20 to 24 years old;1991;1037;592
AT3;AT32;20 to 24 years old;1992;1021;593
AT3;AT32;20 to 24 years old;1993;950;494
AT3;AT32;20 to 24 years old;1994;974;508
AT3;AT32;20 to 24 years old;1995;822;421
AT3;AT32;20 to 24 years old;1996;763;361
AT3;AT32;20 to 24 years old;1997;670;316
AT3;AT32;20 to 24 years old;1998;577;276
AT3;AT32;20 to 24 years old;1999;542;251
AT3;AT32;20 to 24 years old;2000;482;253
AT3;AT32;20 to 24 years old;2001;429;209
